2023-03-15 10:37:37,845 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1717673874]} | ret=SUCCESS |  
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:142)
	at org.apache.hadoop.ozone.s3.endpoint.EndpointBase.createS3Bucket(EndpointBase.java:169) 
2023-03-15 11:09:19,089 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_KEY {bucket=[encrypted], path=[testfile]} | ret=SUCCESS |  
2023-03-15 11:09:20,443 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_KEY {bucket=[encrypted], path=[dir1/dir2/file]} | ret=SUCCESS |  
2023-03-15 11:09:21,609 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_BUCKET {bucket=[encrypted], list-type=[2], encoding-type=[url], prefix=[], delimiter=[/]} | ret=SUCCESS |  
2023-03-15 11:09:22,795 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_BUCKET {bucket=[encrypted], list-type=[2], encoding-type=[url], prefix=[dir1/], delimiter=[/]} | ret=SUCCESS |  
2023-03-15 11:09:23,841 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_BUCKET {bucket=[encrypted], list-type=[2], encoding-type=[url], prefix=[dir1/dir2/file], delimiter=[/]} | ret=SUCCESS |  
2023-03-15 11:09:24,960 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_KEY {bucket=[encrypted], path=[specialchars/a+b]} | ret=SUCCESS |  
2023-03-15 11:09:26,156 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=GET_BUCKET {bucket=[encrypted], list-type=[2], encoding-type=[url], prefix=[specialchars/], delimiter=[/]} | ret=SUCCESS |  
2023-03-15 11:10:43,477 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-6675357478]} | ret=SUCCESS |  
2023-03-15 11:10:45,016 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-8408096879]} | ret=SUCCESS |  
2023-03-15 11:10:46,176 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-8408096879]} | ret=SUCCESS |  
2023-03-15 11:10:47,413 | ERROR | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[invalid_bucket_ozone-test-7564362264]} | ret=FAILURE | INVALID_BUCKET_NAME org.apache.hadoop.ozone.om.exceptions.OMException: Bucket or Volume name has an unsupported character : _
	at org.apache.hadoop.ozone.client.rpc.RpcClient.verifyBucketName(RpcClient.java:722)
	at org.apache.hadoop.ozone.client.rpc.RpcClient.createBucket(RpcClient.java:623) 
2023-03-15 11:10:48,810 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-5755135231]} | ret=SUCCESS |  
2023-03-15 11:11:31,995 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-5548207441]} | ret=SUCCESS |  
2023-03-15 11:11:32,983 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=DELETE_BUCKET {bucket=[bucket-ozone-test-5548207441]} | ret=SUCCESS |  
2023-03-15 11:11:34,025 | ERROR | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=DELETE_BUCKET {bucket=[nosuchbucket-ozone-test-3869169342]} | ret=FAILURE | BUCKET_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Bucket not found
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:709)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.deleteBucket(OzoneManagerProtocolClientSideTranslatorPB.java:946) 
2023-03-15 11:13:31,521 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg1]} | ret=SUCCESS |  
2023-03-15 11:13:31,548 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg4]} | ret=SUCCESS |  
2023-03-15 11:13:31,551 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg8]} | ret=SUCCESS |  
2023-03-15 11:13:31,639 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg5]} | ret=SUCCESS |  
2023-03-15 11:13:31,641 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg6]} | ret=SUCCESS |  
2023-03-15 11:13:31,639 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg0]} | ret=SUCCESS |  
2023-03-15 11:13:31,664 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg3]} | ret=SUCCESS |  
2023-03-15 11:13:31,664 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg7]} | ret=SUCCESS |  
2023-03-15 11:13:31,663 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg9]} | ret=SUCCESS |  
2023-03-15 11:13:31,695 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg2]} | ret=SUCCESS |  
2023-03-15 11:13:31,851 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg19]} | ret=SUCCESS |  
2023-03-15 11:13:31,865 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg10]} | ret=SUCCESS |  
2023-03-15 11:13:31,867 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg17]} | ret=SUCCESS |  
2023-03-15 11:13:31,897 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg16]} | ret=SUCCESS |  
2023-03-15 11:13:31,912 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg18]} | ret=SUCCESS |  
2023-03-15 11:13:31,914 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg15]} | ret=SUCCESS |  
2023-03-15 11:13:31,930 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg14]} | ret=SUCCESS |  
2023-03-15 11:13:31,957 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg11]} | ret=SUCCESS |  
2023-03-15 11:13:31,987 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg12]} | ret=SUCCESS |  
2023-03-15 11:13:32,013 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg13]} | ret=SUCCESS |  
2023-03-15 11:13:32,020 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg27]} | ret=SUCCESS |  
2023-03-15 11:13:32,084 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg29]} | ret=SUCCESS |  
2023-03-15 11:13:32,108 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg25]} | ret=SUCCESS |  
2023-03-15 11:13:32,120 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg26]} | ret=SUCCESS |  
2023-03-15 11:13:32,122 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg24]} | ret=SUCCESS |  
2023-03-15 11:13:32,144 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg22]} | ret=SUCCESS |  
2023-03-15 11:13:32,160 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg23]} | ret=SUCCESS |  
2023-03-15 11:13:32,194 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg28]} | ret=SUCCESS |  
2023-03-15 11:13:32,212 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg20]} | ret=SUCCESS |  
2023-03-15 11:13:32,222 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg30]} | ret=SUCCESS |  
2023-03-15 11:13:32,236 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg21]} | ret=SUCCESS |  
2023-03-15 11:13:32,346 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg32]} | ret=SUCCESS |  
2023-03-15 11:13:32,360 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg35]} | ret=SUCCESS |  
2023-03-15 11:13:32,383 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg33]} | ret=SUCCESS |  
2023-03-15 11:13:32,399 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg31]} | ret=SUCCESS |  
2023-03-15 11:13:32,408 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg34]} | ret=SUCCESS |  
2023-03-15 11:13:32,442 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg40]} | ret=SUCCESS |  
2023-03-15 11:13:32,459 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg36]} | ret=SUCCESS |  
2023-03-15 11:13:32,464 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg37]} | ret=SUCCESS |  
2023-03-15 11:13:32,471 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg38]} | ret=SUCCESS |  
2023-03-15 11:13:32,507 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg39]} | ret=SUCCESS |  
2023-03-15 11:13:32,588 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg43]} | ret=SUCCESS |  
2023-03-15 11:13:32,646 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg45]} | ret=SUCCESS |  
2023-03-15 11:13:32,651 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg42]} | ret=SUCCESS |  
2023-03-15 11:13:32,652 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg44]} | ret=SUCCESS |  
2023-03-15 11:13:32,667 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg50]} | ret=SUCCESS |  
2023-03-15 11:13:32,661 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg48]} | ret=SUCCESS |  
2023-03-15 11:13:32,670 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg49]} | ret=SUCCESS |  
2023-03-15 11:13:32,668 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg47]} | ret=SUCCESS |  
2023-03-15 11:13:32,717 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg51]} | ret=SUCCESS |  
2023-03-15 11:13:32,758 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg46]} | ret=SUCCESS |  
2023-03-15 11:13:32,829 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg57]} | ret=SUCCESS |  
2023-03-15 11:13:32,837 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg53]} | ret=SUCCESS |  
2023-03-15 11:13:32,850 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg55]} | ret=SUCCESS |  
2023-03-15 11:13:32,861 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg59]} | ret=SUCCESS |  
2023-03-15 11:13:32,863 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg56]} | ret=SUCCESS |  
2023-03-15 11:13:32,860 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg41]} | ret=SUCCESS |  
2023-03-15 11:13:32,865 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg54]} | ret=SUCCESS |  
2023-03-15 11:13:32,870 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg52]} | ret=SUCCESS |  
2023-03-15 11:13:32,949 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg58]} | ret=SUCCESS |  
2023-03-15 11:13:32,990 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg64]} | ret=SUCCESS |  
2023-03-15 11:13:32,991 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg60]} | ret=SUCCESS |  
2023-03-15 11:13:33,041 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg62]} | ret=SUCCESS |  
2023-03-15 11:13:33,044 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg63]} | ret=SUCCESS |  
2023-03-15 11:13:33,045 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg66]} | ret=SUCCESS |  
2023-03-15 11:13:33,048 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg61]} | ret=SUCCESS |  
2023-03-15 11:13:33,062 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg65]} | ret=SUCCESS |  
2023-03-15 11:13:33,061 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg67]} | ret=SUCCESS |  
2023-03-15 11:13:33,118 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg68]} | ret=SUCCESS |  
2023-03-15 11:13:33,267 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg72]} | ret=SUCCESS |  
2023-03-15 11:13:33,306 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg69]} | ret=SUCCESS |  
2023-03-15 11:13:33,316 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg75]} | ret=SUCCESS |  
2023-03-15 11:13:33,315 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg71]} | ret=SUCCESS |  
2023-03-15 11:13:33,323 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg73]} | ret=SUCCESS |  
2023-03-15 11:13:33,341 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg70]} | ret=SUCCESS |  
2023-03-15 11:13:33,340 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg78]} | ret=SUCCESS |  
2023-03-15 11:13:33,346 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg74]} | ret=SUCCESS |  
2023-03-15 11:13:33,351 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg77]} | ret=SUCCESS |  
2023-03-15 11:13:33,410 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg81]} | ret=SUCCESS |  
2023-03-15 11:13:33,412 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg80]} | ret=SUCCESS |  
2023-03-15 11:13:33,422 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg83]} | ret=SUCCESS |  
2023-03-15 11:13:33,426 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg85]} | ret=SUCCESS |  
2023-03-15 11:13:33,429 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg84]} | ret=SUCCESS |  
2023-03-15 11:13:33,452 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg82]} | ret=SUCCESS |  
2023-03-15 11:13:33,474 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg88]} | ret=SUCCESS |  
2023-03-15 11:13:33,469 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg76]} | ret=SUCCESS |  
2023-03-15 11:13:33,517 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg94]} | ret=SUCCESS |  
2023-03-15 11:13:33,540 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg86]} | ret=SUCCESS |  
2023-03-15 11:13:33,574 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg90]} | ret=SUCCESS |  
2023-03-15 11:13:33,580 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg93]} | ret=SUCCESS |  
2023-03-15 11:13:33,588 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg92]} | ret=SUCCESS |  
2023-03-15 11:13:33,586 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg96]} | ret=SUCCESS |  
2023-03-15 11:13:33,620 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[s3bg87]} | ret=SUCCESS |  
